timestamp,node_id,traffic_volume,latency_ms,packet_loss_pct,signal_strength_dbm,error_rate,cpu_utilisation,memory_utilisation,fault
2024-01-01 10:25:00,node_001,762.85,21.67,0.2019,-58.81,0.0659,45.63,51.98,0
2024-01-01 10:30:00,node_001,381.14,24.54,0.0547,-62.85,0.0612,38.96,49.33,0
2024-01-01 10:35:00,node_001,432.04,15.54,0.2765,-80.93,0.0408,57.47,34.21,0
2024-01-01 10:40:00,node_001,511.96,18.28,0.1371,-74.05,0.0046,48.76,60.66,0
2024-01-01 10:45:00,node_001,439.58,27.35,0.4506,-66.09,0.0522,15.84,46.3,0
2024-01-01 10:50:00,node_001,313.92,18.19,0.0178,-72.71,0.0303,36.3,48.3,0
2024-01-01 10:55:00,node_001,508.23,21.84,0.0247,-78.17,0.0243,36.11,55.83,0
2024-01-01 11:00:00,node_001,372.52,13.83,0.4253,-57.48,0.0129,41.14,46.24,0
2024-01-01 11:05:00,node_001,556.83,11.43,0.0743,-64.69,0.0259,34.41,30.15,0
2024-01-01 11:10:00,node_001,389.67,14.8,0.2226,-56.17,0.0001,68.26,38.66,0
2024-01-01 11:15:00,node_001,685.99,16.55,1.0397,-52.95,0.008,42.02,42.15,0
2024-01-01 11:20:00,node_001,406.01,25.2,0.0125,-71.22,0.0785,53.99,63.84,0
2024-01-01 11:25:00,node_001,461.35,25.75,0.081,-82.98,0.0127,46.78,49.28,0
2024-01-01 11:30:00,node_001,597.62,10.37,1.1783,-61.85,0.019,39.82,54.53,0
2024-01-01 11:35:00,node_001,352.3,17.29,0.2392,-75.12,0.0095,56.49,62.34,0
2024-01-01 11:40:00,node_001,1135.46,133.76,7.2238,-77.17,0.2195,84.41,41.61,0
2024-01-01 11:45:00,node_001,1432.0,79.69,7.285,-65.5,0.1947,68.81,58.35,0
2024-01-01 11:50:00,node_001,721.92,82.58,10.9675,-89.2,0.1823,88.17,49.72,0
2024-01-01 11:55:00,node_001,1086.67,139.61,5.8711,-79.51,0.1263,68.92,27.85,0
2024-01-01 12:00:00,node_001,1098.61,100.81,6.9885,-70.89,0.1674,99.35,50.88,1
2024-01-01 12:05:00,node_001,1348.35,69.04,6.9242,-84.11,0.2057,98.17,45.4,1
2024-01-01 12:10:00,node_001,351.57,19.72,0.4044,-74.86,0.027,27.8,43.91,0
2024-01-01 12:15:00,node_001,341.55,15.77,0.3181,-67.27,0.0411,79.91,47.23,0
2024-01-01 12:20:00,node_001,562.63,24.7,0.2228,-62.5,0.0344,46.14,58.15,0
2024-01-01 12:25:00,node_001,535.64,23.71,0.2371,-65.56,0.0671,66.71,59.97,0
2024-01-01 12:30:00,node_001,530.06,22.27,1.2058,-65.66,0.007,63.38,50.16,0
2024-01-01 12:35:00,node_001,541.57,21.21,0.7889,-56.55,0.0,63.74,32.14,0
2024-01-01 12:40:00,node_001,418.4,14.91,0.1116,-73.13,0.075,37.34,60.13,0
2024-01-01 12:45:00,node_001,527.87,22.52,0.2927,-62.81,0.0064,48.34,51.89,0
2024-01-01 12:50:00,node_001,535.17,20.65,0.6997,-68.17,0.0648,70.96,56.38,0
2024-01-01 12:55:00,node_001,414.28,30.01,0.3658,-60.5,0.0124,34.04,56.73,0
2024-01-01 13:00:00,node_001,723.89,13.53,1.3571,-58.29,0.0017,55.96,45.59,0
2024-01-01 13:05:00,node_001,556.86,16.38,0.6215,-65.66,0.018,23.84,62.31,0
2024-01-01 13:10:00,node_001,357.04,12.07,0.0757,-43.73,0.0767,67.49,35.8,0
2024-01-01 13:15:00,node_001,578.79,18.91,0.255,-66.33,0.0176,39.91,38.06,0
2024-01-01 13:20:00,node_001,383.04,11.3,0.973,-71.09,0.0766,43.5,68.12,0
2024-01-01 13:25:00,node_001,1163.82,122.53,7.4991,-53.85,0.1446,53.91,48.13,0
2024-01-01 13:30:00,node_001,1394.7,98.14,6.5537,-79.94,0.1617,76.78,35.73,0
2024-01-01 13:35:00,node_001,804.16,110.08,9.7303,-86.53,0.1191,72.17,57.53,0
2024-01-01 13:40:00,node_001,1216.44,128.71,9.6478,-74.92,0.1176,103.27,44.01,0
2024-01-01 13:45:00,node_001,900.69,70.03,3.934,-92.54,0.1195,53.29,30.38,1
2024-01-01 13:50:00,node_001,1446.24,74.58,8.6271,-72.05,0.1691,47.24,56.61,1
2024-01-01 13:55:00,node_001,727.62,23.13,0.7264,-64.55,0.0183,43.42,59.81,0
2024-01-01 14:00:00,node_001,470.55,16.06,0.1616,-59.17,0.002,48.5,65.57,0
2024-01-01 14:05:00,node_001,409.55,29.54,0.2672,-66.16,0.0065,60.48,62.29,0
2024-01-01 14:10:00,node_001,393.26,27.45,0.2108,-66.95,0.0002,28.93,43.77,0
2024-01-01 14:15:00,node_001,402.1,20.0,0.8054,-64.83,0.0054,24.43,70.63,0
2024-01-01 14:20:00,node_001,490.75,17.69,0.4666,-81.68,0.0314,68.55,68.22,0
2024-01-01 14:25:00,node_001,540.94,17.15,0.1225,-57.22,0.0808,48.85,37.41,0
2024-01-01 14:30:00,node_001,533.2,27.99,1.0742,-73.88,0.006,39.71,63.74,0
2024-01-01 14:35:00,node_001,599.26,16.72,0.0055,-50.94,0.0047,53.57,33.19,0
2024-01-01 14:40:00,node_001,501.56,24.67,0.2707,-64.08,0.0387,61.15,51.81,0
2024-01-01 14:45:00,node_001,674.42,20.11,0.7962,-70.68,0.036,41.08,67.27,0
2024-01-01 14:50:00,node_001,468.24,23.57,0.3081,-57.6,0.0293,32.54,34.68,0
2024-01-01 14:55:00,node_001,826.42,15.9,0.1651,-64.77,0.0083,53.96,44.37,0
2024-01-01 15:00:00,node_001,964.47,76.92,7.5884,-80.86,0.1644,94.61,32.82,0
2024-01-01 15:05:00,node_001,808.93,97.41,4.3766,-74.06,0.2723,64.6,57.73,0
2024-01-01 15:10:00,node_001,625.26,126.58,7.1777,-67.96,0.1406,63.94,48.43,0
2024-01-01 15:15:00,node_001,951.79,130.73,8.2235,-78.08,0.177,61.51,62.84,0
2024-01-01 15:20:00,node_001,920.5,116.01,10.2193,-70.48,0.1663,56.1,53.68,1
2024-01-01 15:25:00,node_001,1253.31,101.51,11.3403,-72.68,0.1323,108.98,49.52,1
2024-01-01 15:30:00,node_001,556.79,26.79,0.2148,-65.72,0.0059,48.29,62.02,0
2024-01-01 15:35:00,node_001,491.26,25.82,0.1741,-66.67,0.036,43.11,70.16,0
2024-01-01 15:40:00,node_001,398.38,27.94,0.1666,-75.23,0.0204,71.79,39.27,0
2024-01-01 15:45:00,node_001,318.22,10.46,0.0774,-57.89,0.0178,61.6,60.18,0
2024-01-01 15:50:00,node_001,446.42,21.0,0.5119,-72.21,0.0006,40.34,59.21,0
2024-01-01 15:55:00,node_001,602.77,20.45,0.1782,-60.31,0.0196,16.07,50.3,0
2024-01-01 16:00:00,node_001,525.69,17.19,0.2973,-60.98,0.0275,62.9,40.21,0
2024-01-01 16:05:00,node_001,350.51,21.62,0.3237,-67.18,0.0306,34.03,66.1,0
2024-01-01 16:10:00,node_001,520.78,18.39,0.5542,-60.43,0.0591,59.11,47.26,0
2024-01-01 16:15:00,node_001,546.24,20.81,0.8718,-56.26,0.0046,34.06,60.1,0
2024-01-01 16:20:00,node_001,393.94,37.01,1.7364,-47.62,0.056,37.1,58.52,0
2024-01-01 16:25:00,node_001,518.45,21.59,0.2893,-69.57,0.0144,51.06,39.88,0
2024-01-01 16:30:00,node_001,506.99,21.8,0.9615,-75.3,0.0018,36.97,34.89,0
2024-01-01 16:35:00,node_001,362.84,24.11,0.3807,-62.32,0.001,66.08,57.47,0
2024-01-01 16:40:00,node_001,542.93,20.9,1.3615,-66.07,0.0235,40.38,42.76,0
2024-01-01 16:45:00,node_001,567.29,14.51,0.714,-68.17,0.0465,48.73,48.0,0
2024-01-01 16:50:00,node_001,629.97,11.77,0.5789,-71.03,0.0581,43.29,35.22,0
2024-01-01 16:55:00,node_001,626.46,19.85,0.2704,-64.34,0.0003,46.16,56.73,0
2024-01-01 17:00:00,node_001,334.68,18.65,0.1809,-77.94,0.0076,60.13,13.25,0
2024-01-01 17:05:00,node_001,387.46,10.18,0.8223,-59.59,0.0203,42.95,33.53,0
2024-01-01 17:10:00,node_001,561.8,28.15,0.4345,-65.46,0.0084,43.21,46.42,0
2024-01-01 17:15:00,node_001,561.65,20.54,0.0407,-71.67,0.019,50.43,48.82,0
2024-01-01 17:20:00,node_001,561.81,27.2,0.2856,-55.46,0.055,13.17,35.93,0
2024-01-01 17:25:00,node_001,962.33,8.84,0.0784,-54.2,0.0083,40.29,37.02,0
2024-01-01 17:30:00,node_001,568.51,27.29,0.014,-72.65,0.0045,47.11,68.01,0
2024-01-01 17:35:00,node_001,1229.76,105.54,10.6311,-97.53,0.2221,110.42,34.63,0
2024-01-01 17:40:00,node_001,1079.45,118.94,14.8061,-73.49,0.1055,39.35,29.94,0
2024-01-01 17:45:00,node_001,1183.64,88.36,10.53,-79.35,0.135,33.95,69.83,0
2024-01-01 17:50:00,node_001,807.56,134.24,9.313,-81.5,0.2342,76.34,62.62,0
2024-01-01 17:55:00,node_001,1179.87,58.2,4.9005,-72.94,0.1566,58.5,31.62,1
2024-01-01 18:00:00,node_001,754.67,104.66,13.0496,-85.97,0.2236,77.31,44.9,1
2024-01-01 18:05:00,node_001,471.58,16.77,0.5315,-72.04,0.1608,32.91,59.01,0
2024-01-01 18:10:00,node_001,441.76,18.19,0.0888,-56.97,0.0038,60.95,48.73,0
2024-01-01 18:15:00,node_001,509.82,12.64,0.7722,-53.66,0.0094,62.53,38.75,0
2024-01-01 18:20:00,node_001,777.76,17.6,1.325,-73.34,0.0313,16.35,49.54,0
2024-01-01 18:25:00,node_001,275.93,16.52,0.1945,-74.52,0.0049,26.94,44.34,0
2024-01-01 18:30:00,node_001,582.35,12.52,0.1265,-64.01,0.0037,46.64,54.36,0
2024-01-01 18:35:00,node_001,306.47,22.29,0.1538,-71.63,0.0074,50.61,72.45,0
2024-01-01 18:40:00,node_001,443.37,20.04,0.0913,-52.72,0.0071,44.69,51.44,0
2024-01-01 18:45:00,node_001,630.67,21.23,0.1189,-73.59,0.0151,29.64,59.0,0
2024-01-01 18:50:00,node_001,507.71,23.49,0.5832,-65.49,0.002,46.0,43.55,0
2024-01-01 18:55:00,node_001,370.67,18.81,0.2296,-75.77,0.0304,60.01,38.76,0
2024-01-01 19:00:00,node_001,414.16,15.31,1.0867,-69.68,0.0149,24.09,54.14,0
2024-01-01 19:05:00,node_001,581.55,21.52,0.2221,-66.25,0.0347,77.63,47.0,0
2024-01-01 19:10:00,node_001,412.36,5.39,1.2522,-82.27,0.0919,46.09,57.31,0
2024-01-01 19:15:00,node_001,525.98,19.46,0.0714,-70.69,0.0094,36.42,53.32,0
2024-01-01 19:20:00,node_001,505.47,23.83,0.0172,-66.46,0.0138,26.84,66.22,0
2024-01-01 19:25:00,node_001,421.81,25.23,0.7638,-70.34,0.0521,64.8,54.01,0
2024-01-01 19:30:00,node_001,757.27,17.35,0.7298,-64.58,0.0057,62.59,53.4,0
2024-01-01 19:35:00,node_001,576.07,8.79,0.5988,-66.34,0.0494,31.76,53.22,0
2024-01-01 19:40:00,node_001,256.98,6.83,0.2736,-45.21,0.0427,60.83,47.91,0
2024-01-01 19:45:00,node_001,522.37,23.19,0.1114,-62.12,0.0115,30.12,38.55,0
2024-01-01 19:50:00,node_001,420.59,18.23,0.1308,-71.39,0.0023,36.46,53.21,0
2024-01-01 19:55:00,node_001,602.29,30.09,0.8074,-73.28,0.0173,27.93,64.57,0
2024-01-01 20:00:00,node_001,404.9,12.94,1.416,-57.26,0.0334,48.55,46.95,0
2024-01-01 20:05:00,node_001,486.23,21.71,1.511,-74.13,0.0126,47.77,48.91,0
2024-01-01 20:10:00,node_001,560.6,28.31,0.2346,-59.33,0.0018,52.92,55.62,0
2024-01-01 20:15:00,node_001,603.89,21.03,0.5279,-52.88,0.0427,55.17,54.19,0
2024-01-01 20:20:00,node_001,355.96,12.04,0.184,-59.13,0.0077,0.0,46.8,0
2024-01-01 20:25:00,node_001,459.86,33.86,0.9591,-57.37,0.0014,39.06,56.02,0
2024-01-01 20:30:00,node_001,443.01,27.9,0.449,-61.63,0.0042,41.16,37.29,0
2024-01-01 20:35:00,node_001,421.6,18.86,0.9863,-60.97,0.0032,56.74,40.68,0
2024-01-01 20:40:00,node_001,711.85,24.09,0.6854,-74.88,0.017,42.62,33.27,0
2024-01-01 20:45:00,node_001,548.6,24.15,0.1413,-50.48,0.0483,39.07,69.2,0
2024-01-01 20:50:00,node_001,348.69,23.21,0.0156,-49.56,0.0096,71.17,49.53,0
2024-01-01 20:55:00,node_001,610.14,13.09,2.0425,-73.15,0.0166,44.02,47.99,0
2024-01-01 21:00:00,node_001,754.66,21.62,0.3032,-63.44,0.0065,55.68,40.78,0
2024-01-01 21:05:00,node_001,623.9,27.3,0.1605,-57.85,0.0687,68.37,53.35,0
2024-01-01 21:10:00,node_001,317.68,22.52,0.835,-59.41,0.0962,50.69,53.1,0
2024-01-01 21:15:00,node_001,441.89,21.99,0.0939,-51.47,0.0433,55.17,50.45,0
2024-01-01 21:20:00,node_001,652.03,17.32,0.3536,-58.64,0.0027,41.75,55.84,0
2024-01-01 21:25:00,node_001,415.08,15.48,0.2717,-61.4,0.0256,36.48,59.73,0
2024-01-01 21:30:00,node_001,553.26,12.14,0.0677,-64.65,0.0044,58.05,68.84,0
2024-01-01 21:35:00,node_001,592.96,23.79,0.5623,-63.56,0.0073,52.75,41.44,0
2024-01-01 21:40:00,node_001,388.77,18.9,1.0732,-57.14,0.0087,24.69,52.76,0
2024-01-01 21:45:00,node_001,492.86,13.29,1.3208,-59.03,0.0138,20.35,34.95,0
2024-01-01 21:50:00,node_001,111.05,24.88,0.406,-66.64,0.0712,58.93,43.59,0
2024-01-01 21:55:00,node_001,377.07,17.07,0.0074,-63.86,0.0224,50.35,32.16,0
2024-01-01 22:00:00,node_001,469.69,15.71,0.2443,-65.44,0.0005,26.04,58.0,0
2024-01-01 22:05:00,node_001,350.27,17.52,0.3988,-67.9,0.0156,51.88,47.2,0
2024-01-01 22:10:00,node_001,695.89,19.03,1.7262,-78.21,0.0239,57.29,38.08,0
2024-01-01 22:15:00,node_001,328.38,22.29,0.2936,-68.88,0.0055,25.07,40.49,0
2024-01-01 22:20:00,node_001,447.19,15.62,0.2171,-60.28,0.0517,43.23,52.73,0
2024-01-01 22:25:00,node_001,515.69,25.05,1.2816,-62.88,0.0005,50.25,55.9,0
2024-01-01 22:30:00,node_001,672.95,22.42,0.2913,-57.37,0.0035,78.73,70.21,0
2024-01-01 22:35:00,node_001,327.7,17.43,1.5634,-60.11,0.022,43.23,38.21,0
2024-01-01 22:40:00,node_001,639.58,19.2,0.1913,-49.84,0.023,47.36,56.38,0
2024-01-01 22:45:00,node_001,501.23,17.89,0.6845,-69.51,0.0433,39.12,40.52,0
2024-01-01 22:50:00,node_001,382.22,20.33,0.9272,-66.27,0.0096,18.55,59.74,0
2024-01-01 22:55:00,node_001,555.45,27.6,1.0902,-83.14,0.0133,45.55,64.55,0
2024-01-01 23:00:00,node_001,523.89,17.84,0.1762,-69.74,0.0096,25.15,57.36,0
2024-01-01 23:05:00,node_001,427.97,20.95,2.0668,-62.72,0.114,27.29,33.05,0
